,id,show_id,title,director,country,release_year,duration,listed_in,score,director1,cast1,cast2,cast3,country1,duration1,listed_in1,listed_in2,score1
0,0,s2,7:19,Jorge Michel Grau,Mexico,2016,93 min,"Dramas, International Movies",4,440,468,424,701,239,93,Dramas,12,4
1,1,s3,23:59,Gilbert Chan,Singapore,2011,78 min,"Horror Movies, International Movies",3,257,393,588,319,296,78,Horror Movies,13,5
2,2,s4,9,Shane Acker,United States,2009,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",3,173,124,528,161,440,80,Action & Adventure,0,5
3,3,s5,21,Robert Luketic,United States,2008,123 min,Dramas,3,538,710,258,739,440,123,Dramas,12,5
4,4,s6,46,Serdar Akar,Turkey,2016,1 Season,"International TV Shows, TV Dramas, TV Mysteries",5,450,282,855,371,357,1,International TV Shows,16,5
5,5,s7,122,Yasir Al Yasiri,Egypt,2019,95 min,"Horror Movies, International Movies",3,440,405,286,422,100,95,Horror Movies,13,5
6,6,s8,187,Kevin Reynolds,United States,1997,119 min,Dramas,1,272,916,58,649,440,119,Dramas,12,3
7,7,s9,706,Shravan Kumar,India,2019,118 min,"Horror Movies, International Movies",3,440,779,387,914,173,118,Horror Movies,13,5
8,8,s10,1920,Vikram Bhatt,India,2008,143 min,"Horror Movies, International Movies, Thrillers",3,173,554,590,253,173,143,Horror Movies,13,5
9,9,s11,1922,Zak Hilditch,United States,2017,103 min,"Dramas, Thrillers",1,227,554,389,338,440,103,Dramas,12,3
10,10,s14,"2,215",Nottapon Boonprakob,Thailand,2018,89 min,"Documentaries, International Movies, Sports Movies",0,39,81,131,342,353,89,Documentaries,10,2
11,11,s15,3022,John Suits,United States,2019,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers",5,440,712,759,177,440,91,Independent Movies,14,5
12,12,s16,1-Oct,Kunle Afolayan,Nigeria,2014,149 min,"Dramas, International Movies, Thrillers",4,297,216,543,984,257,149,Dramas,12,4
13,13,s18,22-Jul,Paul Greengrass,"Norway, Iceland, United States",2018,144 min,"Dramas, Thrillers",4,227,950,788,964,263,144,Dramas,12,4
14,14,s19,15-Aug,Swapnaneel Jayakar,India,2019,124 min,"Comedies, Dramas, Independent Movies",5,39,458,166,58,173,124,Comedies,7,5
